"Feature","ICC","CI_lower","CI_upper"
"IntegratedIntensity.IBSI.99N0..Intensity..RV",0.932,0.863,0.967
"RunLengthNonUniformity.IBSI.W92Y..IVS",0.929,0.857,0.966
"RunLengthNonUniformity.IBSI.W92Y..LV",0.91,0.82,0.956
"RunLengthNonUniformity.IBSI.W92Y..RV",0.908,0.816,0.955
"IntensityBasedEnergy.IBSI.N8CA....RV",0.904,0.809,0.953
"X90thIntensityPercentile.IBSI.8DWT....RV",0.903,0.806,0.953
"MaximumIntensity.IBSI.84IY....RV",0.899,0.799,0.951
"IntegratedIntensity.IBSI.99N0..Intensity..LV",0.895,0.792,0.948
"RootMeanSquareIntensity.IBSI.5ZWQ....RV",0.89,0.784,0.946
"MeanIntensity.IBSI.Q4LE....RV",0.884,0.772,0.943
"MedianIntensity.IBSI.Y12H....RV",0.878,0.761,0.94
"X50thIntensityPercentile.IBSI.Y12H....RV",0.878,0.761,0.94
"Busyness.IBSI.NQ30..IVS",0.87,0.735,0.937
"MaximumIntensity.IBSI.84IY....LV",0.861,0.73,0.931
"LargeZoneHighGreyLevelEmphasis.IBSI.J17V..IVS",0.835,0.685,0.918
"IntensityBasedEnergy.IBSI.N8CA....LV",0.819,0.655,0.91
"GreyLevelNonUniformity.IBSI.R5YN..RV",0.815,0.645,0.907
"X90thIntensityPercentile.IBSI.8DWT....LV",0.808,0.633,0.904
"MaximumHistogramGradient.IBSI.12CE..Intensity..IVS",0.806,0.634,0.902
"NormalisedGreyLevelNonUniformity.IBSI.Y1RO..LV",0.802,0.628,0.901
"GreyLevelNonUniformity.IBSI.R5YN..LV",0.801,0.624,0.9
"GreyLevelNonUniformity.IBSI.R5YN..IVS",0.797,0.618,0.898
"X10thIntensityPercentile.IBSI.QG58....RV",0.781,0.591,0.889
"DifferenceVariance.IBSI.D3YU..LV",0.779,0.584,0.889
"LargeZoneHighGreyLevelEmphasis.IBSI.J17V..LV",0.773,0.579,0.884
"SumEntropy.IBSI.P6QZ..RV",0.758,0.55,0.878
"GreyLevelNonUniformity.IBSI.JNSA..RV",0.751,0.544,0.873
